datetime,P,PE,T_max,T_min,Q
01-Jan-1948,32.53,0,-6.9944,-10.3611,0.2475
02-Jan-1948,12.68,0,2.7389,-7.7389,0.3172
03-Jan-1948,5.39,0,2.2056,-8.0111,0.3498
04-Jan-1948,13.67,0,1.2556,-3.6167,0.3453
05-Jan-1948,5.79,0,0.6389,-4.0167,0.3453
06-Jan-1948,36.4,0,1.9778,-1.9389,0.3735
07-Jan-1948,20.39,0,3.2556,1.1333,0.4446
08-Jan-1948,0.4,0,3.7,-2.1389,0.541
09-Jan-1948,0,0,-0.6278,-13.6389,0.4668
10-Jan-1948,0,0,2.1056,-13.1,0.3349
11-Jan-1948,0,0,1.1667,-8.1056,0.3542
12-Jan-1948,0.3,0,-0.3444,-11.9611,0.3839
13-Jan-1948,0,0,-2.2333,-10.6056,0.3142
14-Jan-1948,0,0,-1.45,-11.2444,0.2697
15-Jan-1948,0,0,2.8333,-14.7333,0.2549
16-Jan-1948,0,0,1.4556,-12.15,0.2846
17-Jan-1948,0,0,2.4389,-13.8889,0.3098
18-Jan-1948,0,0,0.9167,-14.2722,0.3098
19-Jan-1948,0,0,-1.4111,-12.2944,0.2964
20-Jan-1948,0,0,1.0278,-13.5944,0.2964
21-Jan-1948,0,0,3.5833,-9.2389,0.3305
22-Jan-1948,0,0,5.8056,-4.2667,0.3735
23-Jan-1948,0,0,5.1444,0.1,0.3839
24-Jan-1948,3.51,0,2.9,-2.1944,0.369
25-Jan-1948,0.78,0,1.05,-9.5222,0.3409
26-Jan-1948,0,0,-3.5833,-11.5611,0.2623
27-Jan-1948,0,0,-4.8667,-6.1778,0.2253
28-Jan-1948,0,0,-2.4556,-9.9667,0.2179
29-Jan-1948,0,0,0.2389,-11.4444,0.2594
30-Jan-1948,0,0,1.3167,-13.2167,0.3098
31-Jan-1948,0,0,-1.8778,-12.3944,0.3142
01-Feb-1948,2.03,0,-1.0778,-6.6833,0.3498
02-Feb-1948,0.71,0,-0.9778,-5.9333,0.3409
03-Feb-1948,0,0,-3.9,-10.1444,0.3261
04-Feb-1948,2.51,0,-2.6278,-10.6778,0.3098
05-Feb-1948,0.84,0,-1.5389,-11.4556,0.2934
06-Feb-1948,0.92,0,-2.3333,-12.1722,0.3009
07-Feb-1948,6.76,0,-3.0389,-13.1611,0.2727
08-Feb-1948,8.87,0,-4.2333,-13.2444,0.2697
09-Feb-1948,6.01,0,-2.0278,-4.8722,0.2964
10-Feb-1948,0,0.015,-2.8667,-12.7722,0.2934
11-Feb-1948,0,0.036,-2.8778,-5.6722,0.2697
12-Feb-1948,0,0.057,-1.7222,-5.0167,0.2771
13-Feb-1948,0,0.079,2.9667,-6.7722,0.2964
14-Feb-1948,3.05,0.101,2.8222,-9.7722,0.3172
15-Feb-1948,0.92,0.124,3.9778,-3.0833,0.3142
16-Feb-1948,0.2,0.147,3.5167,-6.1056,0.3098
17-Feb-1948,3.38,0.171,7.3722,-6.6111,0.3053
18-Feb-1948,12.22,0.196,4.7778,-0.6889,0.3305
19-Feb-1948,0.2,0.221,2.8333,-7.3056,0.3305
20-Feb-1948,14.84,0.247,2.4,-6.3944,0.3172
21-Feb-1948,26.46,0.273,0.6111,-4.9722,0.3142
22-Feb-1948,8.55,0.3,2.4222,-1.4333,0.3305
23-Feb-1948,0,0.327,2.2333,-10.65,0.3142
24-Feb-1948,0,0.355,1.5333,-14.8889,0.2934
25-Feb-1948,2.55,0.383,3.2,-10.7556,0.3009
26-Feb-1948,1.35,0.412,5.1778,-3.9722,0.3216
27-Feb-1948,0,0.441,0.9222,-9.0056,0.3261
28-Feb-1948,0,0.471,1.2,-14.6,0.2964
29-Feb-1948,0,0.501,1.45,-13.7333,0.2816
01-Mar-1948,11.09,0.532,1.9167,-15.7111,0.2771
02-Mar-1948,2.05,0.563,0.5833,-9.45,0.3098
03-Mar-1948,0,0.595,-0.5389,-13.1,0.3098
04-Mar-1948,0,0.627,0.6111,-14.1167,0.289
05-Mar-1948,0,0.659,2.7278,-14.65,0.2727
06-Mar-1948,0,0.692,2.9722,-14.0778,0.2846
07-Mar-1948,0.3,0.726,2.2778,-14.8222,0.3053
08-Mar-1948,0.51,0.759,1.9722,-10.6278,0.3216
09-Mar-1948,3.74,0.794,1.4833,-12.9278,0.3098
10-Mar-1948,1.87,0.828,-3.9778,-15.15,0.2934
11-Mar-1948,0,0.863,-0.4444,-11.6833,0.2727
12-Mar-1948,0,0.898,4,-13.2556,0.2816
13-Mar-1948,4.2,0.934,5.9611,-5.45,0.3216
14-Mar-1948,5.95,0.97,4.2556,-3.8833,0.3409
15-Mar-1948,0,1.006,1.1889,-10.8722,0.3172
16-Mar-1948,0,1.042,0.7167,-9.0333,0.3098
17-Mar-1948,2.07,1.079,3.1611,-5.2611,0.3172
18-Mar-1948,4.34,1.117,1.6444,-6.1,0.3172
19-Mar-1948,1.78,1.154,-1.0944,-6.8778,0.3142
20-Mar-1948,0,1.192,-1.9778,-13.9278,0.2934
21-Mar-1948,0,1.23,0.7278,-12.75,0.2846
22-Mar-1948,4,1.268,2.4333,-8.5778,0.3172
23-Mar-1948,3.39,1.306,4.0778,-0.7444,0.3349
24-Mar-1948,1.32,1.345,5.7667,-1.1944,0.3349
25-Mar-1948,8.87,1.384,3.5833,-3.0333,0.3646
26-Mar-1948,0,1.423,2.3833,-11.0167,0.3349
27-Mar-1948,0,1.463,6.1611,-12.7778,0.3349
28-Mar-1948,0.51,1.502,9.2333,-9.9,0.369
29-Mar-1948,3.04,1.542,4.7556,-3.8222,0.4268
30-Mar-1948,0.51,1.582,2.0556,-3.1556,0.3023
31-Mar-1948,0,1.622,6.0444,-10.6333,0.4002
01-Apr-1948,0,1.662,8.9833,-6.1111,0.4387
