datetime,P,PE,T_max,T_min,GF,Q
01-Jan-1948,8.02,0.23,18.3444,3.0556,40.11,-99
02-Jan-1948,4.57,0.242,20.6222,-4.1444,40.11,-99
03-Jan-1948,0.29,0.246,3.3444,-3.7944,40.11,-99
04-Jan-1948,2.79,0.25,6.9722,-7.0722,40.11,-99
05-Jan-1948,0,0.254,2.7,-4.2944,40.11,-99
06-Jan-1948,0,0.259,5.6944,-8.3278,40.11,-99
07-Jan-1948,0,0.265,9.9556,-10.7,40.11,-99
08-Jan-1948,0,0.271,13.6722,-9.2944,40.11,-99
09-Jan-1948,0,0.278,15.9167,1.4556,40.11,-99
10-Jan-1948,0,0.285,15.5667,-4.7,40.11,-99
11-Jan-1948,0,0.293,6.1222,-13.8833,40.11,-99
12-Jan-1948,46.33,0.301,10.75,-7.2056,40.11,-99
13-Jan-1948,24.19,0.31,6,-2.7389,40.11,-99
14-Jan-1948,1.43,0.32,2.7889,-12.9222,40.11,-99
15-Jan-1948,0,0.33,2.5611,-18.2722,40.11,-99
16-Jan-1948,0,0.34,6.6556,-13.7056,40.11,-99
17-Jan-1948,2.71,0.351,7.7889,-8.5889,40.11,-99
18-Jan-1948,2.32,0.362,-0.5444,-13.6222,40.11,-99
19-Jan-1948,0,0.374,2.4167,-15.55,40.11,-99
20-Jan-1948,3.58,0.387,3.6944,-10.2778,40.11,-99
21-Jan-1948,2.18,0.4,7.2111,-3.15,40.11,-99
22-Jan-1948,4.92,0.413,8.0278,-3.7389,40.11,-99
23-Jan-1948,7.59,0.427,3.1278,-8.2389,40.11,-99
24-Jan-1948,3.14,0.441,1.6778,-9.7,40.11,-99
25-Jan-1948,0.29,0.456,-0.5111,-14.1444,40.11,-99
26-Jan-1948,6.21,0.472,3.3778,-16.2556,40.11,-99
27-Jan-1948,14.31,0.488,1.7889,-7.2611,40.11,-99
28-Jan-1948,2.9,0.504,-0.6333,-9.7556,40.11,-99
29-Jan-1948,4.93,0.521,-0.3389,-7.8556,40.11,-99
30-Jan-1948,26.96,0.538,0.9778,-5.6056,40.11,-99
31-Jan-1948,9.29,0.556,2.7889,-2.6833,40.11,-99
01-Feb-1948,6.06,0.574,2.6444,-6.4722,41.86,-99
02-Feb-1948,0,0.593,1.3889,-7.3833,41.86,-99
03-Feb-1948,0,0.612,4.1444,-12.0667,41.86,-99
04-Feb-1948,5.71,0.631,9.4944,-5.8833,41.86,-99
05-Feb-1948,27.52,0.651,5.0722,-1.2333,41.86,-99
06-Feb-1948,10.66,0.671,5.9778,0.1944,41.86,-99
07-Feb-1948,12.42,0.692,7.0889,-1.4722,41.86,-99
08-Feb-1948,4.17,0.713,6.5333,-0.9167,41.86,-99
09-Feb-1948,18.01,0.735,1.5,-3.3444,41.86,-99
10-Feb-1948,2.46,0.757,3.9944,-7.55,41.86,-99
11-Feb-1948,37.42,0.779,3.6111,-8.9556,41.86,-99
12-Feb-1948,17.24,0.802,7.6778,-2.2,41.86,-99
13-Feb-1948,60.09,0.825,16.4889,3.4111,41.86,-99
14-Feb-1948,12.08,0.848,20.6833,0.75,41.86,-99
15-Feb-1948,0,0.872,5.4222,-8.7889,41.86,-99
16-Feb-1948,0,0.896,8.2222,-5.2167,41.86,-99
17-Feb-1948,0,0.921,18.1444,1.2833,41.86,-99
18-Feb-1948,0,0.946,20.4556,-2.5278,41.86,-99
19-Feb-1948,9.01,0.971,22.1833,0.1333,41.86,-99
20-Feb-1948,7.68,0.997,11.6944,2.8556,41.86,-99
21-Feb-1948,11.04,1.022,9.8667,-2.6444,41.86,-99
22-Feb-1948,0.49,1.049,14.3111,-2.2889,41.86,-99
23-Feb-1948,0.12,1.075,6.5333,-0.3611,41.86,-99
24-Feb-1948,2.49,1.102,13.6444,-5.4556,41.86,-99
25-Feb-1948,8.11,1.129,15.4222,2.3333,41.86,-99
26-Feb-1948,6.63,1.156,15.5167,5.1944,41.86,-99
27-Feb-1948,6.92,1.184,20.4,8.5833,41.86,-99
28-Feb-1948,0.38,1.212,22.6444,12.8,41.86,-99
29-Feb-1948,0,1.24,23.2,2.6778,41.86,-99
01-Mar-1948,4.26,1.268,17.2389,-2.1333,43.18,-99
02-Mar-1948,4.72,1.297,18.6111,6.0111,43.18,-99
03-Mar-1948,5.21,1.326,11.9667,4.0111,43.18,-99
04-Mar-1948,3.7,1.355,8.3389,2.8111,43.18,-99
05-Mar-1948,2.56,1.384,10.3111,-4.0611,43.18,-99
06-Mar-1948,21.78,1.414,12,-2.1,43.18,-99
07-Mar-1948,11.17,1.443,10.3333,1.4722,43.18,-99
08-Mar-1948,0.12,1.473,12.9944,-2.8667,43.18,-99
